ability_identifier,language_identifier,name
adaptability,jp-kana,てきおうりょく
adaptability,jp-kanji,てきおうりょく
adaptability,en,Adaptability
adaptability,fr,Adaptabilité
adaptability,it,Adattabilità
adaptability,de,Anpassung
adaptability,es,Adaptable
adaptability,ko,적응력
adaptability,zh-simp,适应力
adaptability,zh-trad,適應力
aerilate,jp-kana,スカイスキン
aerilate,jp-kanji,スカイスキン
aerilate,en,Aerilate
aerilate,fr,Peau Céleste
aerilate,it,Pellecielo
aerilate,de,Zenithaut
aerilate,es,Piel Celeste
aerilate,ko,스카이스킨
aerilate,zh-simp,飞行皮肤
aerilate,zh-trad,飛行皮膚
aftermath,jp-kana,ゆうばく
aftermath,jp-kanji,ゆうばく
aftermath,en,Aftermath
aftermath,fr,Boom Final
aftermath,it,Scoppio
aftermath,de,Finalschlag
aftermath,es,Detonación
aftermath,ko,유폭
aftermath,zh-simp,诱爆
aftermath,zh-trad,引爆
air-lock,jp-kana,エアロック
air-lock,jp-kanji,エアロック
air-lock,en,Air Lock
air-lock,fr,Air Lock
air-lock,it,Riparo
air-lock,de,Klimaschutz
air-lock,es,Esclusa de Aire
air-lock,ko,에어록
air-lock,zh-simp,气闸
air-lock,zh-trad,氣閘
analytic,jp-kana,アナライズ
analytic,jp-kanji,アナライズ
analytic,en,Analytic
analytic,fr,Analyste
analytic,it,Ponderazione
analytic,de,Analyse
analytic,es,Cálculo Final
analytic,ko,애널라이즈
analytic,zh-simp,分析
analytic,zh-trad,分析
anger-point,jp-kana,いかりのつぼ
anger-point,jp-kanji,いかりのつぼ
anger-point,en,Anger Point
anger-point,fr,Colérique
anger-point,it,Grancollera
anger-point,de,Kurzschluss
anger-point,es,Irascible
anger-point,ko,분노의경혈
anger-point,zh-simp,愤怒穴位
anger-point,zh-trad,憤怒穴位
anger-shell,jp-kana,いかりのこうら
anger-shell,jp-kanji,いかりのこうら
anger-shell,en,Anger Shell
anger-shell,fr,Courroupace
anger-shell,it,Iraguscio
anger-shell,de,Wutpanzer
anger-shell,es,Coraza Ira
anger-shell,ko,분노의껍질
anger-shell,zh-simp,愤怒甲壳
anger-shell,zh-trad,憤怒甲殼
anticipation,jp-kana,きけんよち
anticipation,jp-kanji,きけんよち
anticipation,en,Anticipation
anticipation,fr,Anticipation
anticipation,it,Presagio
anticipation,de,Vorahnung
anticipation,es,Anticipación
anticipation,ko,위험예지
anticipation,zh-simp,危险预知
anticipation,zh-trad,危險預知
arena-trap,jp-kana,ありじごく
arena-trap,jp-kanji,ありじごく
arena-trap,en,Arena Trap
arena-trap,fr,Piège Sable
arena-trap,it,Trappoarena
arena-trap,de,Ausweglos
arena-trap,es,Trampa Arena
arena-trap,ko,개미지옥
arena-trap,zh-simp,沙穴
arena-trap,zh-trad,沙穴
armor-tail,jp-kana,テイルアーマー
armor-tail,jp-kanji,テイルアーマー
armor-tail,en,Armor Tail
armor-tail,fr,Armure Caudale
armor-tail,it,Codarmatura
armor-tail,de,Schweifrüstung
armor-tail,es,Cola Armadura
armor-tail,ko,테일아머
armor-tail,zh-simp,尾甲
armor-tail,zh-trad,尾甲
aroma-veil,jp-kana,アロマベール
aroma-veil,jp-kanji,アロマベール
aroma-veil,en,Aroma Veil
aroma-veil,fr,Aroma-Voile
aroma-veil,it,Aromavelo
aroma-veil,de,Dufthülle
aroma-veil,es,Velo Aroma
aroma-veil,ko,아로마베일
aroma-veil,zh-simp,芳香幕
aroma-veil,zh-trad,芳香幕
as-one--glastrier,jp-kana,じんばいったい
as-one--glastrier,jp-kanji,じんばいったい
as-one--glastrier,en,As One
as-one--glastrier,fr,Osmose Équine
as-one--glastrier,it,Sintonia Equina
as-one--glastrier,de,Reitgespann
as-one--glastrier,es,Unidad Ecuestre
as-one--glastrier,ko,혼연일체
as-one--glastrier,zh-simp,人马一体
as-one--glastrier,zh-trad,人馬一體
as-one--spectrier,jp-kana,じんばいったい
as-one--spectrier,jp-kanji,じんばいったい
as-one--spectrier,en,As One
as-one--spectrier,fr,Osmose Équine
as-one--spectrier,it,Sintonia Equina
as-one--spectrier,de,Reitgespann
as-one--spectrier,es,Unidad Ecuestre
as-one--spectrier,ko,혼연일체
as-one--spectrier,zh-simp,人马一体
as-one--spectrier,zh-trad,人馬一體
aura-break,jp-kana,オーラブレイク
aura-break,jp-kanji,オーラブレイク
aura-break,en,Aura Break
aura-break,fr,Aura Inversée
aura-break,it,Frangiaura
aura-break,de,Aura-Umkehr
aura-break,es,Rompeaura
aura-break,ko,오라브레이크
aura-break,zh-simp,气场破坏
aura-break,zh-trad,氣場破壞
bad-dreams,jp-kana,ナイトメア
bad-dreams,jp-kanji,ナイトメア
bad-dreams,en,Bad Dreams
bad-dreams,fr,Mauvais Rêve
bad-dreams,it,Sogniamari
bad-dreams,de,Alptraum
bad-dreams,es,Mal Sueño
